$	0m	0m	1m	1m	1m	2m	2m	2m
EG10220	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10223	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10224	1.0000	1.0000	1.0000	1.0000	1.1429	2.0000	1.5714	1.0000
EG10225	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10226	0.0000	0.0000	0.0000	0.7273	1.0000	1.0000	1.0000	1.0000
EG10227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10228	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10229	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10230	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10231	2.0000	2.0000	2.0000	1.8182	1.0000	1.0000	1.0000	1.0000
EG10232	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10233	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10234	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10235	0.0000	0.4286	2.7143	2.9091	2.5714	2.3636	2.0000	2.0000
EG10236	2.0000	2.6190	2.6190	3.3636	3.3810	4.9545	2.7143	3.0455
EG10237	0.0000	0.1905	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10238	0.0000	0.0000	0.0952	1.0909	2.0000	1.2273	1.0000	1.9091
EG10239	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7143	1.0000
EG10241	4.0000	4.0000	4.0000	4.0000	4.0000	3.7727	3.4286	3.0000
EG10242	0.0000	0.4286	2.7143	2.9091	2.5714	2.3636	2.0000	2.0000
EG10243	0.0000	0.0000	0.0000	0.6818	1.3333	1.2273	0.9524	0.0000
EG10244	0.0000	0.1905	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10245	1.0000	1.0000	1.0000	1.3182	0.0000	0.0000	0.0000	0.0000
EG10246	1.0000	1.0000	1.8095	2.1364	1.7619	2.0000	2.0000	2.0000
EG10247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10248	3.0000	2.5714	2.0000	2.7727	3.0000	3.0000	3.0000	3.0000
EG10249	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10250	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10251	1.0000	1.0000	1.0000	1.0000	0.5714	0.8636	1.0000	1.0000
EG10252	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10253	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10254	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10255	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10256	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10257	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10258	5.0000	5.6190	6.0000	6.6364	7.2857	6.3182	6.6190	6.3182
EG10259	3.0000	3.3333	3.5238	3.0000	2.5714	2.8636	3.0000	2.3636
EG10260	3.0000	3.3333	3.5238	3.0000	2.5714	2.8636	3.0000	2.3636
EG10261	3.0000	3.3333	3.5238	3.0000	2.5714	2.8636	3.0000	2.3636
EG10262	2.0000	1.5238	1.0000	1.0000	0.7619	0.0000	0.0000	0.0000
EG10263	3.0000	3.3333	3.5238	3.0000	2.5714	2.8636	3.0000	2.3636
EG10264	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	1.9524	1.0000
EG10265	1.0000	1.0000	1.3333	1.0000	1.0000	1.0000	1.0000	1.0000
EG10266	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10267	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10268	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10269	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10270	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10271	3.0000	3.0000	3.7143	4.0000	4.0000	3.6818	3.0000	3.7273
EG10272	3.0000	3.0000	3.7143	4.0000	4.0000	3.6818	3.0000	3.7273
EG10273	2.0000	2.0000	1.7619	1.0000	0.8571	0.0000	0.0000	0.4545
EG10274	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10275	1.0000	1.6190	2.0000	1.7273	2.7143	3.0000	3.0000	3.5909
EG10276	1.0000	1.6190	2.0000	1.7273	2.7143	3.0000	3.0000	3.5909
EG10277	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	1.3182
EG10278	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10280	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10281	0.0000	0.6667	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10282	9.0000	9.0000	6.6667	6.9091	7.0000	7.0000	7.0000	6.4545
EG10283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10284	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10285	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10286	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10287	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10288	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10289	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10290	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10291	2.0000	2.0000	1.1905	0.5909	0.0000	0.0000	0.0000	0.0000
EG10292	2.0000	2.0000	1.1905	0.5909	0.0000	0.0000	0.0000	0.0000
EG10293	2.0000	1.5238	1.0000	1.0000	0.7619	0.0000	0.0000	0.0000
EG10294	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10295	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	0.0000
EG10296	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	0.0000
EG10297	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	1.9524	1.0000
EG10298	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.6667	0.0000
EG10299	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	1.9524	1.0000
EG10300	1.0000	0.5238	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10302	0.0000	0.9524	0.1905	0.2273	0.0000	0.8182	1.9048	2.0000
EG10303	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7619	0.0000
EG10304	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7619	0.0000
EG10305	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7619	0.0000
EG10306	1.0000	1.0000	1.9048	2.0000	1.5238	1.4545	2.0000	1.9091
EG10307	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10308	11.0000	10.3333	10.0000	9.3636	9.0000	9.5909	10.0000	10.4091
EG10309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
