$	0m	0m	1m	1m	1m	2m	2m	2m
ARAH-MONOMER	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000
ARAJ-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
ARCA-MONOMER	2664.0000	2672.0476	2687.6190	2705.9545	2722.8095	2747.4545	2784.4286	2819.4545
ARCB-MONOMER	1.0000	1.4762	1.6667	1.6364	1.5714	1.7273	1.5714	1.4545
ARCD-MONOMER	22.0000	22.0000	22.0000	22.0000	22.0000	22.8636	25.9048	27.1364
ARGDECARBOXBIO-MONOMER	427.0000	427.8571	428.4762	432.7727	435.1905	439.3182	444.8571	448.9545
ARGDECARBOXDEG-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
ARGS-MONOMER	685.0000	685.0000	685.0000	684.8182	684.0000	684.0000	684.0000	682.9091
ARGSUCCINLYA-MONOMER	522.0000	522.0000	522.0000	522.0000	522.0000	522.0000	522.0000	522.0000
ARGSUCCINSYN-MONOMER	3221.0000	3227.7619	3244.2381	3266.4091	3293.0952	3316.0000	3352.1429	3391.3182
ARGSUCCTRAN-MONOMER	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000
ARGT-MONOMER	923.0000	923.0000	922.9524	921.8182	920.2381	920.0000	919.4286	915.2273
AROA-MONOMER	1549.0000	1552.4286	1559.3333	1564.9091	1573.0000	1573.0000	1571.5238	1571.0000
AROB-MONOMER	74.0000	74.1905	75.7619	77.0000	78.1905	79.0000	79.0000	79.0000
AROC-MONOMER	344.0000	344.0000	344.0000	344.0000	344.0000	344.0000	344.0000	344.0000
AROD-MONOMER	528.0000	532.3333	542.8095	549.2273	552.0000	552.0000	552.0000	552.0000
AROE-MONOMER	173.0000	173.0000	173.0000	173.0000	173.0000	173.0000	173.0000	172.4091
AROF-MONOMER	152.0000	152.0000	152.0000	152.0000	152.0000	152.0000	152.0000	152.0000
AROG-MONOMER	891.0000	896.2381	909.1905	924.6364	934.1429	941.4091	951.2857	952.0000
AROH-MONOMER	366.0000	366.0000	366.0000	366.0000	366.0000	366.0000	366.0000	366.0000
AROK-MONOMER	961.0000	964.9048	976.5714	987.4545	995.9048	1002.9091	1009.2381	1015.8636
AROL-MONOMER	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000
AROP-MONOMER	101.0000	102.1905	103.8571	105.3636	107.5238	111.0909	114.8571	117.5000
ARSF-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
ARTI-MONOMER	231.0000	233.5238	236.7143	241.9091	246.6190	250.2727	252.3810	254.8182
ARTJ-MONOMER	2817.0000	2819.5238	2824.2857	2832.0455	2831.4286	2831.0000	2830.1429	2827.5000
ARTM-MONOMER	95.0000	96.7619	99.1429	101.5000	103.5714	105.5455	107.3810	109.9545
ARTP-MONOMER	204.0000	205.0000	208.1429	210.0455	213.4286	217.2273	219.4762	224.1818
ARTQ-MONOMER	97.0000	97.0952	99.0476	102.0000	103.0952	105.8182	106.1905	107.9091
ARYLSULFAT-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
ASCF-MONOMER	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000
ASL-MONOMER	1673.0000	1673.0000	1674.3810	1686.5000	1694.2381	1699.9545	1701.0000	1701.0000
ASNS-MONOMER	3509.0000	3517.8095	3542.4762	3565.8636	3582.4286	3596.6818	3609.9048	3620.1818
ASNSYNA-MONOMER	2511.0000	2511.0000	2513.4286	2524.3636	2533.1429	2536.0000	2536.0000	2541.0909
ASNSYNB-MONOMER	567.0000	567.0000	567.0000	567.0000	567.0000	567.0000	567.0000	567.0000
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	10479.0000	10490.9048	10529.1429	10581.3636	10615.0000	10648.0000	10689.9524	10729.8182
ASPAMINOTRANS-MONOMER	7183.0000	7194.2857	7215.8571	7257.9091	7300.3810	7330.2727	7373.7143	7408.0000
