gene	uniprot	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose	Succinate	Fructose
iscR	P0AGK8	7687.153375567814	7127.841054326026	11688.491105551286	4233.210813699668	5207.23112502558	5483.36085832342	7084.26275074947	6509.75477087467	7181.258184727851	4631.6061613913835	3916.078657134555	2946.7690489250085	223.4479595838759	344.6853193302675	8213.78961662638	4003.6576559903933	3097.305810170157	7911.600314896069	6878.33895274265	3329.293962434417	3458.1420229096816	5222.1166921010845
mprA	P0ACR9	1084.8631016567404	1734.6977537261519	1376.960907764204	565.9968521021885	711.2923986841979	523.8343557822923	761.8388447692009	811.5415611367039	682.0355696511986	410.5096944301992	255.91202455439162	174.4368272579195	277.83512377837565	369.1707300986366	1279.6955977842456	2338.5240103963315	767.9294030885761	1291.5833686965948	717.6339016730985	363.9687040987437	913.330550119956	1114.9812465211476
uidR	P0ACT6	138.6765719	139.9087792	NA	73.84471909	243.1026983	120.5423023	52.75600144	75.75794498	68.56437821	535.0680195	9.67055169	433.4322802	26.5912942	40.65860042	36.83519361	91.92097012	52.66106127	NA	NA	75.82670858	97.2797976	NA
miaA	P16384	80.32994270134475	92.19730546620004	78.51228241166709	59.945864008550835	53.8446974936721	44.41824065502441	64.72160824504833	83.83421968626924	32.79572459789435	28.018957390349886	28.81043693973843	19.029374928650405	23.625170815797404	20.48781167434006	36.33143198481407	115.01870779199344	53.65131457698414	65.35116535803586	60.115345646473195	36.446220437882666	37.186777497946956	69.85528734421742
rbfA	P0A7G2	1534.5280110530812	3095.056994400742	2211.657416958844	990.5993661302509	1136.2544348007714	1276.2348343403896	1223.2786070150585	1046.189096241005	1070.6859328912237	873.3327892061652	794.1523207260335	719.8648691745261	760.2143146800973	916.7732410152558	1360.0717619455463	1786.1693167425963	1576.2633669336758	1210.397741581406	1066.828060837037	911.9621580357091	1001.780327029099	1119.7813713034996
rplO	P02413	6986.008750627745	19396.135686885886	14836.909750538907	3390.434649847498	5169.273555757368	6860.941947467423	6174.558638688515	5162.656095082592	9695.717424219196	6463.184827432631	5344.008420612504	4182.669010077177	3889.3986523433714	3545.7496738737286	4325.64693405507	11040.846181388593	6795.055227249638	7921.1048924863735	5082.595052525344	3435.014011199526	4945.106567064483	11295.398773420658
rplV	P61175	49716.943111931185	137404.3823100403	85360.53374994789	18436.181340797055	29803.886364089285	37100.665415379306	40812.19230633732	29107.80111267773	35821.523164188045	23088.01577268309	17301.03108677989	15805.944298247814	14090.432430940795	17484.381668155802	37373.83332543139	51747.241402820124	44674.24618782585	39652.16937344276	30563.049752754738	19384.39630708392	32936.90944736207	45726.018507154404
rpmE	P0A7M9	8140.580028153178	55158.52027832223	35630.00031352668	5738.170827211481	9677.044700554385	14870.076048085284	9797.799691407496	7527.620557822009	12726.229991858994	9459.33066375665	7670.588601948019	6208.405133400523	12042.7809576184	10364.49968053636	26358.236953992244	14015.96235475977	24528.550521511283	13418.320661881426	4957.458662054522	7325.132556977416	8071.1463923340525	13235.607046188696
truB	P60340	76.67568548868407	181.62444111930392	156.01594614037396	54.203985868319414	68.6386836404974	67.44042814167067	69.18146145571825	78.81305126200417	76.10670135662606	57.066723870095444	57.59687523918769	44.74218350298183	10.06136409251252	12.733902303429534	29.61566472994002	46.49368974240859	27.637031417087325	42.79616601956931	51.541278356597445	33.159044039841014	37.75615100740569	53.58088627266661
mnmA	P25745	500.16670813632106	616.7035934011313	420.6496855462029	253.6577297569498	287.43760986982323	329.00734470436026	328.78137068195986	243.98906072804226	334.0932693979129	250.61264080508937	243.1736234455933	144.37811426310373	209.083407943254	139.05052103331067	375.59784172849527	432.06548124700646	334.70018973859743	330.05880961144175	216.62864837522062	144.86030017398778	196.8019566613612	298.9530449698971
rimM	P0A7X6	775.5279879945862	1686.310597043382	1278.708636449671	377.3510901068059	535.2955214332932	524.2698961452187	514.3841753793902	437.111674406743	467.76055317362307	361.4344873389027	258.3183870322016	225.58563444580048	142.2034735367724	170.58408871639293	489.6167625867507	779.8387245200946	517.1434344688435	616.7455686868574	443.20750237478006	330.0112612320751	478.629182302444	560.5365948344408
