"melatonin [mmol/L], fed-batch [h]",DDB_PD_002_AMBR_R8,DDB_PD_002_AMBR_R7,DDB_PD_072_AMBR_R7,DDB_PD_072_AMBR_R8,DDB_PD_074_AMBR_R12,DDB_PD_107_AMBR_R1,DDB_PD_107_AMBR_R10,DDB_PD_107_AMBR_R11,DDB_PD_107_AMBR_R12,DDB_PD_107_AMBR_R13,DDB_PD_107_AMBR_R2,DDB_PD_107_AMBR_R3,DDB_PD_107_AMBR_R5,DDB_PD_107_AMBR_R6,DDB_PD_107_AMBR_R7,DDB_PD_107_AMBR_R8,DDB_PD_107_AMBR_R9,DDB_PD_110_AMBR_R10,DDB_PD_110_AMBR_R5,DDB_PD_110_AMBR_R6,DDB_PD_110_AMBR_R7,DDB_PD_110_AMBR_R8,DDB_PD_110_AMBR_R9
20.93,10.584,10.103,,,,,,,,,,,,,,,,,,,,,
22.970000000000002,,,7.803,,,,,,,,,,,,,,,,,,,,
22.989999999999995,,,,7.706,,,,,,,,,,,,,,,,,,,
23.92,,9.663,,,,,,,,,,,,,,,,,,,,,
23.940000000000005,9.802,,,,,,,,,,,,,,,,,,,,,,
23.95,,,,,,,,,,,,,,,,,,,,,,0.0,
23.959999999999997,,,,,,,,,9.707,,,,,,,,0.0,,,0.0,,,
23.96,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0
23.97,,,,,4.305,,,9.669,,,,,,,,,,,,,,,
23.970000000000002,,,7.768,,,,,,,,,,8.683,8.876,,,,,,,0.0,,
23.979999999999997,,,,,,,,,,9.757,,,,,,0.0,,0.0,,,,,
23.989999999999995,,,,7.924,,,,,,,,,,,,,,,,,,,
23.99,,,,,,,,,,,,0.0,,,,,,,,,,,
23.990000000000002,,,,,,,,,,,,,,,9.444,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,0.0,,,,
24.009999999999998,,,,,,0.0,,,,,,,,,,,,,,,,,
27.43,7.612,7.955,,,,,,,,,,,,,,,,,,,,,
27.97,,,,,3.354,,,,,,,,,,,,,,,,,,
